"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Kleissl, Jan","ENVR 87 - Freshman Seminar               (A)","WI10","9","6","100.0%","100.0%","0.90","A (4.00)","N/A"
"Griest, Kim","ENVR 30 - Environmental Issues:Nat Sci   (A)","FA09","112","63","80.6%","83.6%","3.07","B+ (3.45)","B- (2.79)"
"Martin, Eric Collin","ENVR 102 - Selected Topics/Environmntl St (A)","SP09","25","17","100.0%","100.0%","4.26","B+ (3.67)","B (3.24)"
"Callender, Craig Adam","ENVR 130 - Environmental Issues:Soc Sci   (A)","SP09","58","40","82.5%","77.5%","2.96","B+ (3.64)","B (3.02)"
"Wastal, Carrie King","ENVR 87 - Freshman Seminar               (A)","SP09","12","11","100.0%","100.0%","1.77","N/A","N/A"
"Linden, Paul F.","ENVR 87 - Freshman Seminar               (A)","WI09","13","12","91.7%","90.9%","2.50","A (4.00)","N/A"
"Shaffer, Lisa Robock","ENVR 87 - Freshman Seminar               (A)","WI09","13","12","91.7%","90.9%","2.50","A (4.00)","N/A"
"Chau, Pao C.","ENVR 30 - Environmental Issues:Nat Sci   (A)","FA08","107","26","96.0%","92.0%","2.42","A- (3.79)","B+ (3.56)"
"Huff, Tonya Michelle","ENVR 102 - Selected Topics/Environmntl St (A)","SP08","20","16","100.0%","100.0%","3.00","B+ (3.67)","B+ (3.37)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law              (A)","SP08","42","34","100.0%","90.9%","5.53","B+ (3.53)","B+ (3.54)"
"Callender, Craig Adam","ENVR 102 - Selected Topics/Environmntl St (A)","WI08","45","32","77.4%","84.4%","3.47","B- (2.96)","B- (2.72)"
"Oreskes, Naomi","ENVR 102 - Selected Topics/Environmntl St (A)","WI08","45","32","77.4%","84.4%","3.47","B- (2.96)","B- (2.72)"
"Clemencon, Raymond","ENVR 130 - Environmental Issues:Soc Sci   (A)","WI08","63","35","91.2%","91.2%","3.56","A- (3.71)","B (3.26)"
"Chau, Pao C.","ENVR 30 - Environmental Issues:Nat Sci   (A)","FA07","102","39","94.4%","94.3%","2.65","A- (3.84)","B+ (3.58)"
