"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Sadegholvad, Elham","LIHL 115F - Korean for Korean Speakers (A)","FA20","12","3","100.0%","100.0%","3.17","B+ (3.33)","N/A"
"Sadegholvad, Elham","LIHL 117F - Persian for Persian Speakers (A)","FA20","14","9","100.0%","100.0%","3.83","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 119F - Hindi for Hindi Speakers (A)","FA20","14","5","100.0%","100.0%","1.83","A (4.00)","N/A"
"Hill, Kimloan T.V.","LIHL 124F - Int Vietnamese/Vietnamese Spkr (A)","FA20","15","9","88.9%","66.7%","3.39","B+ (3.63)","N/A"
"Alicio, Atilio","LIHL 132F - Adv Filipino/Filipino Spkrs (A)","FA20","15","8","100.0%","100.0%","4.25","B (3.14)","N/A"
"Hill, Kimloan T.V.","LIHL 134F - Adv Vietnamese/Vietnamese Spkr (A)","FA20","10","7","100.0%","100.0%","5.07","B+ (3.67)","N/A"
"Salimi, Rana","LIHL 137F - Adv  Persian/Persian Speakers (A)","FA20","7","6","100.0%","100.0%","4.83","A (4.00)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","FA20","6","3","100.0%","100.0%","6.50","A (4.00)","N/A"
"Demir, Nese","LIGN 101 - Introduction/Study of Language (A)","S220","24","9","100.0%","100.0%","4.75","B+ (3.63)","B+ (3.51)"
"Semushina, Nina","LIGN 7 - Sign Languages&Their Cultures (A)","S120","13","5","100.0%","100.0%","4.50","A (4.00)","N/A"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","S120","56","18","100.0%","100.0%","5.32","B+ (3.57)","A- (3.76)"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","SP20","77","41","100.0%","97.6%","4.00","A- (3.78)","A- (3.73)"
"Rose, Sharon","LIGN 108 - Languages of Africa (A)","SP20","19","8","100.0%","100.0%","3.93","B+ (3.57)","N/A"
"Styler, William Francis","LIGN 113 - Hearing Sci.&Hearing Disorders (A)","SP20","68","35","100.0%","100.0%","4.50","A- (3.74)","A- (3.72)"
"Yuan, Michelle","LIGN 120 - Morphology (A)","SP20","111","58","100.0%","100.0%","4.29","A- (3.87)","A- (3.77)"
"Caponigro, Ivano","LIGN 130 - Semantics (A)","SP20","119","56","92.5%","92.5%","4.43","B+ (3.30)","B+ (3.38)"
"Kehler, Andrew Scott","LIGN 160 - Pragmatics (A)","SP20","63","26","84.6%","84.0%","5.50","B (3.22)","A- (3.89)"
"Bergen, Leon","LIGN 165 - Computational Linguistics (A)","SP20","63","24","91.7%","95.8%","6.92","A- (3.75)","A- (3.78)"
"Kluender, Robert","LIGN 181 - Lang Processing in the Brain (A)","SP20","50","34","76.5%","88.2%","7.83","B (3.08)","B+ (3.38)"
"Ilkbasaran, Deniz","LIGN 7 - Sign Languages&Their Cultures (A)","SP20","158","94","95.7%","100.0%","4.65","A- (3.82)","A- (3.82)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","SP20","216","81","96.2%","98.7%","3.64","A- (3.86)","A- (3.87)"
"Alicio, Atilio","LIHL 112P - Filipino for Filipino Speakers (A)","SP20","23","8","100.0%","100.0%","3.25","B (3.00)","B+ (3.46)"
"Hill, Kimloan T.V.","LIHL 114P - Beginning Vietnamese for Vietn (A)","SP20","17","10","100.0%","100.0%","2.50","B+ (3.67)","N/A"
"Sadegholvad, Elham","LIHL 115P - Korean for Korean Speakers (A)","SP20","20","7","100.0%","100.0%","3.50","B+ (3.67)","A- (3.97)"
"Sadegholvad, Elham","LIHL 117P - Persian for Persian Speakers (A)","SP20","18","15","100.0%","100.0%","3.36","A (4.00)","N/A"
"Hill, Kimloan T.V.","LIHL 124P - Int Vietnamese/Vietnamese Spkr (A)","SP20","20","8","100.0%","87.5%","5.75","B+ (3.57)","A- (3.76)"
"Alicio, Atilio","LIHL 132P - Adv Filipino/Filipino Spkrs (A)","SP20","15","8","100.0%","100.0%","4.50","B (3.00)","N/A"
"Hill, Kimloan T.V.","LIHL 134P - Adv Vietnamese/Vietnamese Spkr (A)","SP20","17","5","100.0%","100.0%","6.50","A- (3.80)","N/A"
"Sadegholvad, Elham","LIHL 137P - Adv  Persian/Persian Speakers (A)","SP20","11","5","100.0%","100.0%","3.30","A (4.00)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","WI20","62","36","100.0%","100.0%","4.00","B+ (3.62)","B+ (3.33)"
"Rose, Sharon","LIGN 111 - Phonology I (A)","WI20","79","42","85.0%","92.5%","5.10","B (3.15)","B (3.05)"
"Garellek, Marc","LIGN 112 - Speech Sounds&Speech Disorders (A)","WI20","68","41","95.1%","100.0%","4.21","B+ (3.39)","B- (2.94)"
"Munoz Sanchez, Alicia","LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A)","WI20","46","19","94.7%","89.5%","4.61","B+ (3.58)","B (3.28)"
"Drake, Emily C","LIGN 121 - Syntax I (A)","WI20","107","100","85.9%","91.9%","5.70","B- (2.95)","B (3.04)"
"Kluender, Robert","LIGN 154 - Language and Consciousness (A)","WI20","31","21","85.0%","89.5%","5.50","B (3.20)","B (3.04)"
"Kehler, Andrew Scott","LIGN 17 - Making and Breaking Codes (A)","WI20","169","75","98.6%","98.6%","2.61","B+ (3.53)","B (3.23)"
"Mayberry, Rachel","LIGN 171 - Child Language Acquisition (A)","WI20","50","23","63.6%","59.1%","3.55","B (3.05)","B (3.19)"
"Garellek, Marc","LIGN 175 - Sociolinguistics (A)","WI20","46","26","91.7%","100.0%","3.46","B+ (3.43)","B (3.16)"
"Ackerman, Farrell","LIGN 176 - Language/Politics&Advertising (A)","WI20","36","15","100.0%","100.0%","3.73","B+ (3.50)","B+ (3.47)"
"Styler, William Francis","LIGN 6 - Computers and Language (A)","WI20","34","9","100.0%","100.0%","2.72","B+ (3.63)","B+ (3.58)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","WI20","181","90","93.3%","93.3%","2.75","B+ (3.65)","A- (3.71)"
"Alicio, Atilio","LIHL 112W - Filipino for Filipino Speakers (A)","WI20","21","8","100.0%","100.0%","6.21","B+ (3.57)","B+ (3.44)"
"Hill, Kimloan T.V.","LIHL 114W - Beginning Vietnamese for Vietn (A)","WI20","15","10","100.0%","100.0%","4.50","B (3.00)","N/A"
"Sadegholvad, Elham","LIHL 115W - Korean for Korean Speakers (A)","WI20","16","5","100.0%","75.0%","1.50","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 117W - Persian for Persian Speakers (A)","WI20","13","6","100.0%","100.0%","4.83","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 119W - Hindi for Hindi Speakers (A)","WI20","15","7","100.0%","100.0%","3.50","A- (3.83)","N/A"
"Hill, Kimloan T.V.","LIHL 124W - Int Vietnamese/Vietnamese Spkr (A)","WI20","16","6","100.0%","100.0%","3.83","B+ (3.50)","N/A"
