"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bratton, Maryann","ENG 100L - Design for Development Lab (I)","SP17","15","4","100.0%","100.0%","2.50","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (J)","SP17","18","11","100.0%","90.9%","4.68","A- (3.91)","N/A"
"Kahng, Andrew Byun","ENG 2 - Orientation to Engineering II (A)","SP17","11","4","100.0%","100.0%","4.00","N/A","N/A"
"Karandikar, Keyur","ENG 10 - Fundamentals/Engineering Appln (A)","WI17","21","11","88.9%","77.8%","2.28","A (4.00)","A- (3.94)"
"Larson, David Philip","ENG 10 - Fundamentals/Engineering Appln (B)","WI17","22","11","81.8%","100.0%","3.23","B+ (3.64)","A- (3.97)"
"Williams, Ebonee P.","ENG 100B - Engineering Leadership (B)","WI17","30","9","85.7%","85.7%","1.64","A (4.00)","A- (3.84)"
"Steck, Jamie Bradley","ENG 100D - Design for Development (A)","WI17","46","44","93.0%","88.4%","5.03","B+ (3.69)","A- (3.81)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","WI17","53","49","93.9%","95.9%","5.68","A- (3.75)","A- (3.90)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","WI17","48","48","83.3%","89.6%","6.67","A- (3.81)","A- (3.90)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","WI17","53","49","89.8%","98.0%","5.93","A- (3.84)","A- (3.90)"
"Smith, David M.","ENG 100L - Design for Development Lab (C)","WI17","15","6","100.0%","100.0%","9.00","A (4.00)","N/A"
"Kleissl, Jan","ENG 100L - Design for Development Lab (D)","WI17","11","4","100.0%","100.0%","1.50","A (4.00)","N/A"
"Tu, Charles","ENG 100L - Design for Development Lab (F)","WI17","9","3","100.0%","100.0%","5.17","B+ (3.67)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (G)","WI17","14","5","100.0%","100.0%","3.70","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (H)","WI17","13","6","100.0%","100.0%","6.50","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (J)","WI17","14","6","100.0%","100.0%","3.50","A (4.00)","N/A"
"Stokes, Malcolm Dale","ENG 100L - Design for Development Lab (L)","WI17","6","4","100.0%","100.0%","3.17","A (4.00)","N/A"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (M)","WI17","12","4","100.0%","100.0%","2.50","A (4.00)","N/A"
"Kahng, Andrew Byun","ENG 2 - Orientation to Engineering II (A)","WI17","9","4","100.0%","100.0%","2.50","N/A","N/A"
"Kahng, Andrew Byun","ENG 2 - Orientation to Engineering II (B)","WI17","11","6","100.0%","100.0%","4.10","A (4.00)","N/A"
"Hayden, Marina Calvet","ENG 1 - Orientation to Engineering I (A)","FA16","29","16","78.6%","100.0%","0.93","A (4.00)","N/A"
"Choi, Seongcheol","ENG 1 - Orientation to Engineering I (B)","FA16","13","6","0.0%","33.3%","1.17","N/A","N/A"
"Karandikar, Keyur","ENG 10 - Fundamentals/Engineering Appln (B)","FA16","31","18","88.9%","72.2%","3.28","A- (3.94)","A- (3.95)"
"Larson, David Philip","ENG 10 - Fundamentals/Engineering Appln (C)","FA16","29","17","88.2%","100.0%","1.91","A (4.00)","A- (3.98)"
"Williams, Ebonee P.","ENG 100A - Team Engineering (A)","FA16","10","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Steck, Jamie Bradley","ENG 100D - Design for Development (A)","FA16","54","48","95.8%","93.8%","4.67","B+ (3.57)","A- (3.74)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","FA16","54","52","90.4%","94.2%","5.38","B+ (3.62)","A- (3.81)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","FA16","53","46","77.8%","84.4%","7.10","B+ (3.45)","A- (3.81)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","FA16","49","44","77.3%","100.0%","6.41","B+ (3.62)","A- (3.81)"
"Bratton, Maryann","ENG 100L - Design for Development Lab (0)","FA16","32","12","100.0%","81.8%","3.05","A (4.00)","A- (3.83)"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (0)","FA16","13","6","100.0%","100.0%","4.50","A (4.00)","N/A"
"Griswold, William G.","ENG 100L - Design for Development Lab (0)","FA16","13","7","100.0%","66.7%","7.70","A (4.00)","N/A"
"Kleissl, Jan","ENG 100L - Design for Development Lab (0)","FA16","11","5","100.0%","100.0%","2.90","A (4.00)","N/A"
"Smith, David M.","ENG 100L - Design for Development Lab (0)","FA16","14","4","100.0%","100.0%","5.00","A (4.00)","N/A"
"Tu, Charles","ENG 100L - Design for Development Lab (0)","FA16","12","3","100.0%","100.0%","3.50","A (4.00)","N/A"
"Mesa, Diego Alberto","ENG 10 - Fundamentals/Engineering Appln (A)","S216","17","17","100.0%","100.0%","6.03","A- (3.71)","N/A"
"Karandikar, Keyur","ENG 10 - Fundamentals/Engineering Appln (B)","S216","16","13","100.0%","84.6%","4.50","A- (3.85)","N/A"
"Kang, Dae Y","ENG 10 - Fundamentals/Engineering Appln (C)","S216","14","13","100.0%","100.0%","6.67","A- (3.85)","N/A"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (D)","S216","16","11","90.0%","50.0%","4.30","A- (3.70)","N/A"
"Eremenko, Svetlana","ENG 100B - Engineering Leadership (A)","SP16","19","7","83.3%","100.0%","2.83","A- (3.83)","N/A"
"Steck, Jamie Bradley","ENG 100D - Design for Development (A)","SP16","57","16","93.8%","93.8%","4.63","A- (3.73)","B+ (3.70)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","SP16","57","54","86.8%","92.5%","4.42","B+ (3.60)","A- (3.71)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","SP16","54","52","98.1%","98.1%","6.82","A- (3.71)","A- (3.96)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","SP16","59","56","100.0%","98.2%","4.82","B+ (3.69)","A- (3.86)"
"Griswold, William G.","ENG 100L - Design for Development Lab (A)","SP16","18","5","100.0%","100.0%","4.00","A (4.00)","N/A"
